superordinate,basic,subordinate,words
positif,cinta,hasrat nonseksual,ingin
positif,cinta,hasrat nonseksual,kepingin
positif,cinta,"hasrat seksual, gairah",hasrat
positif,cinta,"hasrat seksual, gairah",berahi
positif,cinta,"hasrat seksual, gairah",terangsang
positif,cinta,"hasrat seksual, gairah",bergaira
positif,cinta,"hasrat seksual, gairah",gairah
positif,cinta,"menyukai, kesukaan",demen
positif,cinta,"menyukai, kesukaan",suka
positif,cinta,"daya tarik, pesona",terkesiap
positif,cinta,"daya tarik, pesona",terbuai
positif,cinta,"daya tarik, pesona",terpesona
positif,cinta,"daya tarik, pesona",terpikat
positif,cinta,"daya tarik, pesona",tertarik
positif,cinta,cinta,perassan
positif,cinta,cinta,getar hati
positif,cinta,cinta,setia
positif,cinta,cinta,edan
positif,cinta,cinta,kesmaran
positif,cinta,cinta,kangen
positif,cinta,cinta,rindu
positif,cinta,cinta,kemesraan
positif,cinta,cinta,asmara
positif,cinta,cinta,mesra
positif,cinta,cinta,cinta
positif,cinta,cinta,kasih
positif,cinta,cinta,sayang
positif,kebahagiaan,"menghormati, kekaguman",bangga
positif,kebahagiaan,"menghormati, kekaguman",kagum
positif,kebahagiaan,"kebahagiaan, suka cita",asik
positif,kebahagiaan,"kebahagiaan, suka cita",sukacita
positif,kebahagiaan,"kebahagiaan, suka cita",sukaria
positif,kebahagiaan,"kebahagiaan, suka cita",bahagia
positif,kebahagiaan,"kebahagiaan, suka cita",senang
positif,kebahagiaan,"kebahagiaan, suka cita",girang
positif,kebahagiaan,"kebahagiaan, suka cita",gembira
positif,kebahagiaan,"kebahagiaan, suka cita",ceria
positif,kebahagiaan,"kebahagiaan, suka cita",riang
positif,kebahagiaan,"ketenangan, keamanan",damai
positif,kebahagiaan,"ketenangan, keamanan",aman
positif,kebahagiaan,"ketenangan, keamanan",tenteram
positif,kebahagiaan,kepuasan,lega
positif,kebahagiaan,kepuasan,kepuasan
positif,kebahagiaan,kepuasan,puas
positif,kebahagiaan,"keberanian, kepercayaan diri",berani
positif,kebahagiaan,"keberanian, kepercayaan diri",yakin
positif,kebahagiaan,merasa senang dengan tindakan yang benar,ikhlas
positif,kebahagiaan,merasa senang dengan tindakan yang benar,tulus
positif,kebahagiaan,kebanggaan yang dibenarkan, berbesar
positif,kebahagiaan,kebanggaan yang dibenarkan, besar hati
positif,kebahagiaan,"menenangkan, kepercayaan diri yang tenang dan matang",rendah hati
positif,kebahagiaan,"menenangkan, kepercayaan diri yang tenang dan matang",sabar
positif,kebahagiaan,"menenangkan, kepercayaan diri yang tenang dan matang",tabah
negatif,kemarahan,"kebosanan yang marah, merasa muak",bosan
negatif,amarah,"kebosanan yang marah, merasa muak",jenuh
negatif,amarah,ketidakpercayaan karena cemburu,cemburu
negatif,amarah,ketidakpercayaan karena cemburu,curiga
negatif,amarah,"iri hati, kebencian",tinggi hati
negatif,amarah,"iri hati, kebencian",iri
negatif,amarah,"iri hati, kebencian",berdengki
negatif,amarah,"iri hati, kebencian",dengki
negatif,amarah,kemarahan yang terpendam,gemas
negatif,amarah,kemarahan yang terpendam,gregetan
negatif,amarah,kepahitan,ngambek
negatif,amarah,kepahitan,tersingung
negatif,amarah,"kebencian, rasa muak",muak
negatif,amarah,"kebencian, rasa muak",benci
negatif,amarah,"kebencian, rasa muak",dendam
negatif,amarah,"kemarahan, kekesalan",histeris
negatif,amarah,"kemarahan, kekesalan",senewen
negatif,amarah,"kemarahan, kekesalan",emosi
negatif,amarah,"kemarahan, kekesalan",kesal
negatif,amarah,"kemarahan, kekesalan",sebal
negatif,amarah,"kemarahan, kekesalan",mangkel
negatif,amarah,"kemarahan, kekesalan",dongkol
negatif,amarah,"kemarahan, kekesalan",jengkel
negatif,amarah,"kemarahan, kekesalan",panas hati
negatif,amarah,"kemarahan, kekesalan",kalap
negatif,amarah,"kemarahan, kekesalan",murka
negatif,amarah,"kemarahan, kekesalan",naik darah
negatif,amarah,"kemarahan, kekesalan",naik pitam
negatif,amarah,"kemarahan, kekesalan",marah
negatif,amarah,"kemarahan, kekesalan",berang
negatif,takut,"takut, gemetar",gentar
negatif,takut,"takut, gemetar",takut
negatif,takut,"kegugupan, kegelisahan",berdebar
negatif,takut,"kegugupan, kegelisahan",kebat-kebit
negatif,takut,"kecemasan, kekhawatiran, kebingungan",kalut
negatif,takut,"kecemasan, kekhawatiran, kebingungan",gusar
negatif,takut,"kecemasan, kekhawatiran, kebingungan",kecemasaan
negatif,takut,"kecemasan, kekhawatiran, kebingungan",cemas
negatif,takut,"kecemasan, kekhawatiran, kebingungan",kawatir
negatif,takut,"kecemasan, kekhawatiran, kebingungan",waswas
negatif,takut,"kecemasan, kekhawatiran, kebingungan",bimbang
negatif,takut,"kecemasan, kekhawatiran, kebingungan",bingung
negatif,takut,"kecemasan, kekhawatiran, kebingungan",galau
negatif,takut,"kecemasan, kekhawatiran, kebingungan",gundah
negatif,takut,"kecemasan, kekhawatiran, kebingungan",gelisah
negatif,takut,"kecemasan, kekhawatiran, kebingungan",risau
negatif,kesedihan,"terluka, malu",kecil hati
negatif,kesedihan,"terluka, malu",malu
negatif,kesedihan,simpati,simpati
negatif,kesedihan,simpati,tersentu
negatif,kesedihan,"merasa tergerak, tersentuh",hard
negatif,kesedihan,"merasa tergerak, tersentuh",keharuan
negatif,kesedihan,"kasihan, kasih sayang",prihatin
negatif,kesedihan,"kasihan, kasih sayang",iba
negatif,kesedihan,"kasihan, kasih sayang",kasihan
negatif,kesedihan,"kesedihan, duka",murung
negatif,kesedihan,"kesedihan, duka",pilu
negatif,kesedihan,"kesedihan, duka",sendu
negatif,kesedihan,"kesedihan, duka",sedih
negatif,kesedihan,"kesedihan, duka",duka
negatif,kesedihan,"kesedihan, duka",dukacita
negatif,kesedihan,hancur dan patah hati,sakit hati
negatif,kesedihan,hancur dan patah hati,pedih hati
negatif,kesedihan,hancur dan patah hati,patah hati
negatif,kesedihan,hancur dan patah hati,remuk hati
negatif,kesedihan,"keputusasaan, putus asa",frustrasi
negatif,kesedihan,"keputusasaan, putus asa",putus asa
negatif,kesedihan,"keputusasaan, putus asa",putus harapan
negatif,kesedihan,"menyesali, rasa bersalah",berat hati
negatif,kesedihan,"menyesali, rasa bersalah",penyesal
negatif,kesedihan,"menyesali, rasa bersalah",sesal
